Outcome,Patch,Blue1,Blue2,Blue3,Blue4,Blue5,Red1,Red2,Red3,Red4,Red5
1,13.01,K'SanteTop,KindredJungle,SyndraMid,EzrealBot,Renata GlascSupport,GwenTop,Xin ZhaoJungle,RyzeMid,ZeriBot,LuluSupport
0,13.01,K'SanteTop,ViJungle,AkaliMid,CaitlynBot,LuxSupport,RenektonTop,MaokaiJungle,AzirMid,KalistaBot,NautilusSupport
0,13.01,KennenTop,PoppyJungle,SylasMid,SivirBot,YuumiSupport,JaxTop,WukongJungle,KassadinMid,ZeriBot,LuluSupport
0,13.01,GwenTop,WukongJungle,AkaliMid,KalistaBot,HeimerdingerSupport,K'SanteTop,ViJungle,SyndraMid,ApheliosBot,SorakaSupport
0,13.01,FioraTop,GravesJungle,SyndraMid,JhinBot,HeimerdingerSupport,CamilleTop,ViegoJungle,RyzeMid,VarusBot,LuxSupport
0,13.01,CamilleTop,GravesJungle,GalioMid,VarusBot,Renata GlascSupport,FioraTop,ViegoJungle,RyzeMid,DravenBot,BlitzcrankSupport
0,13.01,GwenTop,WukongJungle,AhriMid,ZeriBot,LuluSupport,AatroxTop,MaokaiJungle,AkaliMid,SivirBot,YuumiSupport
0,13.01,KennenTop,WukongJungle,LissandraMid,ZeriBot,LuluSupport,GnarTop,ViJungle,TaliyahMid,LucianBot,NamiSupport
1,13.01,JayceTop,SejuaniJungle,SyndraMid,VarusBot,HeimerdingerSupport,CamilleTop,WukongJungle,AhriMid,SivirBot,AsheSupport
0,13.01,AatroxTop,WukongJungle,AzirMid,VarusBot,BardSupport,GangplankTop,MaokaiJungle,YoneMid,JhinBot,HeimerdingerSupport
1,13.01,AatroxTop,WukongJungle,AzirMid,ZeriBot,YuumiSupport,K'SanteTop,SejuaniJungle,SyndraMid,LucianBot,NamiSupport
0,13.01,OrnnTop,ViJungle,ViktorMid,VarusBot,HeimerdingerSupport,AatroxTop,MaokaiJungle,SyndraMid,EzrealBot,KarmaSupport
1,13.01,RenektonTop,ViegoJungle,SyndraMid,SivirBot,Renata GlascSupport,MalphiteTop,ViJungle,ZoeMid,VarusBot,NamiSupport
1,13.01,K'SanteTop,SkarnerJungle,RyzeMid,ZeriBot,HeimerdingerSupport,GwenTop,ViegoJungle,SyndraMid,VarusBot,LeonaSupport
1,13.01,JaxTop,SejuaniJungle,RyzeMid,ZeriBot,LuluSupport,AatroxTop,NidaleeJungle,RenektonMid,VarusBot,KarmaSupport
0,13.01,FioraTop,ZacJungle,RyzeMid,ZeriBot,HeimerdingerSupport,JaxTop,ViJungle,SyndraMid,VarusBot,KarmaSupport
1,13.01,RenektonTop,GravesJungle,GalioMid,ZeriBot,YuumiSupport,AatroxTop,ViJungle,ViktorMid,LucianBot,NamiSupport
0,13.01,K'SanteTop,WukongJungle,SyndraMid,LucianBot,NamiSupport,GwenTop,ViJungle,RyzeMid,ZeriBot,YuumiSupport
1,13.01,CamilleTop,ViegoJungle,LissandraMid,ZeriBot,YuumiSupport,GwenTop,WukongJungle,RyzeMid,LucianBot,NamiSupport
0,13.01,K'SanteTop,WukongJungle,SyndraMid,LucianBot,NamiSupport,GangplankTop,ViJungle,RyzeMid,ZeriBot,YuumiSupport
1,13.01,K'SanteTop,GravesJungle,AkaliMid,JhinBot,AsheSupport,GwenTop,PoppyJungle,SyndraMid,CaitlynBot,KarmaSupport
1,13.01,KennenTop,WukongJungle,IreliaMid,CaitlynBot,NautilusSupport,GangplankTop,MaokaiJungle,SylasMid,AsheBot,HeimerdingerSupport
0,13.01,K'SanteTop,ViegoJungle,LissandraMid,LucianBot,SonaSupport,AatroxTop,Lee SinJungle,RyzeMid,DravenBot,NamiSupport
1,13.01,K'SanteTop,KindredJungle,LissandraMid,ZeriBot,LuluSupport,DariusTop,SylasJungle,SyndraMid,VarusBot,Renata GlascSupport
1,13.01,GwenTop,ViJungle,RyzeMid,LucianBot,YuumiSupport,AatroxTop,TrundleJungle,SylasMid,EzrealBot,NamiSupport
1,13.01,CamilleTop,ViegoJungle,TaliyahMid,LucianBot,NamiSupport,K'SanteTop,GravesJungle,AhriMid,ZeriBot,LuluSupport
1,13.01,K'SanteTop,MaokaiJungle,OriannaMid,KalistaBot,Renata GlascSupport,GwenTop,Xin ZhaoJungle,RyzeMid,VarusBot,KarmaSupport
1,13.01,K'SanteTop,Lee SinJungle,SyndraMid,SivirBot,YuumiSupport,RenektonTop,MaokaiJungle,AzirMid,ZeriBot,LuluSupport
1,13.01,K'SanteTop,WukongJungle,AzirMid,SivirBot,YuumiSupport,GnarTop,SejuaniJungle,KassadinMid,ZeriBot,LuluSupport
0,13.01,GnarTop,WukongJungle,SyndraMid,VarusBot,KarmaSupport,K'SanteTop,ViJungle,AzirMid,JhinBot,BlitzcrankSupport
0,13.01,K'SanteTop,MaokaiJungle,JayceMid,JhinBot,SorakaSupport,GnarTop,SejuaniJungle,SwainMid,ZeriBot,HeimerdingerSupport
0,13.01,AatroxTop,MaokaiJungle,SyndraMid,ZeriBot,LuluSupport,FioraTop,ViJungle,AzirMid,CaitlynBot,LuxSupport
1,13.01,K'SanteTop,WukongJungle,AhriMid,ZeriBot,RakanSupport,GwenTop,ViJungle,SylasMid,ApheliosBot,LuluSupport
1,13.01,JayceTop,MaokaiJungle,AkaliMid,LucianBot,NamiSupport,RenektonTop,ViJungle,GalioMid,ZeriBot,YuumiSupport
1,13.01,OlafTop,SejuaniJungle,AzirMid,SivirBot,YuumiSupport,K'SanteTop,MaokaiJungle,RyzeMid,ApheliosBot,LuluSupport
0,13.01,K'SanteTop,NocturneJungle,ViktorMid,LucianBot,NamiSupport,GnarTop,EliseJungle,SwainMid,VarusBot,AsheSupport
0,13.01,RenektonTop,SejuaniJungle,LeBlancMid,LucianBot,NamiSupport,K'SanteTop,ViJungle,ViktorMid,ZeriBot,YuumiSupport
1,13.01,GnarTop,WukongJungle,KarmaMid,ZeriBot,LuluSupport,K'SanteTop,ViJungle,AhriMid,VarusBot,HeimerdingerSupport
1,13.01,FioraTop,GravesJungle,GalioMid,AsheBot,KarmaSupport,GragasTop,Bel'VethJungle,LissandraMid,SivirBot,NautilusSupport
1,13.01,GnarTop,ViJungle,ViktorMid,VarusBot,HeimerdingerSupport,CamilleTop,SejuaniJungle,YoneMid,AsheBot,Renata GlascSupport
0,13.01,K'SanteTop,WukongJungle,SyndraMid,JhinBot,SeraphineSupport,FioraTop,Xin ZhaoJungle,LuxMid,VarusBot,KarmaSupport
1,13.01,YoneTop,MaokaiJungle,RyzeMid,VarusBot,LuluSupport,K'SanteTop,ViJungle,AhriMid,ZeriBot,YuumiSupport
0,13.01,OrnnTop,MaokaiJungle,RyzeMid,JinxBot,RellSupport,FioraTop,ViJungle,LissandraMid,ZeriBot,YuumiSupport
1,13.01,AatroxTop,MaokaiJungle,KassadinMid,VarusBot,NautilusSupport,PoppyTop,WukongJungle,SyndraMid,ZeriBot,YuumiSupport
1,13.01,FioraTop,SejuaniJungle,SylasMid,Kai'SaBot,RakanSupport,JayceTop,MaokaiJungle,IreliaMid,AsheBot,KarmaSupport
1,13.01,OrnnTop,ViegoJungle,SeraphineMid,VarusBot,KarmaSupport,NasusTop,WukongJungle,CorkiMid,XayahBot,RakanSupport
0,13.01,OrnnTop,KindredJungle,SyndraMid,SivirBot,HeimerdingerSupport,K'SanteTop,MaokaiJungle,RyzeMid,VarusBot,JhinSupport
1,13.01,K'SanteTop,ViJungle,SyndraMid,XayahBot,RakanSupport,OlafTop,WukongJungle,LissandraMid,ZeriBot,YuumiSupport
1,13.01,K'SanteTop,Xin ZhaoJungle,AzirMid,VarusBot,LeonaSupport,JayceTop,MaokaiJungle,ViktorMid,LucianBot,NamiSupport
0,13.01,GnarTop,ViJungle,RyzeMid,VarusBot,NautilusSupport,IreliaTop,MaokaiJungle,TristanaMid,ZeriBot,YuumiSupport
0,13.01,GnarTop,MaokaiJungle,SyndraMid,SivirBot,YuumiSupport,FioraTop,WukongJungle,RyzeMid,ZeriBot,AlistarSupport
0,13.01,RenektonTop,WukongJungle,SylasMid,LucianBot,NamiSupport,GangplankTop,MaokaiJungle,ViktorMid,VarusBot,NautilusSupport
0,13.01,JayceTop,ViJungle,SyndraMid,JhinBot,LeonaSupport,GnarTop,WukongJungle,YoneMid,SeraphineBot,NautilusSupport
0,13.01,GnarTop,Xin ZhaoJungle,RyzeMid,LucianBot,NamiSupport,CamilleTop,ViJungle,LissandraMid,XayahBot,NautilusSupport
0,13.01,K'SanteTop,ViJungle,EkkoMid,SivirBot,YuumiSupport,RenektonTop,WukongJungle,AzirMid,Kai'SaBot,BlitzcrankSupport
0,13.01,FioraTop,SejuaniJungle,KassadinMid,SivirBot,Renata GlascSupport,KennenTop,ViegoJungle,RyzeMid,VarusBot,AsheSupport
1,13.01,OrnnTop,SejuaniJungle,RyzeMid,ApheliosBot,BraumSupport,AatroxTop,MaokaiJungle,KassadinMid,ZeriBot,RakanSupport
1,13.01,K'SanteTop,Lee SinJungle,AhriMid,VarusBot,AsheSupport,FioraTop,WukongJungle,RyzeMid,ZeriBot,LuluSupport
1,13.01,RenektonTop,MaokaiJungle,SyndraMid,VarusBot,NautilusSupport,K'SanteTop,SejuaniJungle,YoneMid,ZeriBot,LuluSupport
0,13.01,K'SanteTop,WukongJungle,SyndraMid,CaitlynBot,LuxSupport,RenektonTop,ZacJungle,RyzeMid,SivirBot,YuumiSupport
0,13.01,GangplankTop,WukongJungle,AhriMid,DravenBot,PykeSupport,AatroxTop,Lee SinJungle,RyzeMid,AsheBot,BraumSupport
1,13.01,RenektonTop,ViJungle,SyndraMid,VarusBot,HeimerdingerSupport,K'SanteTop,WukongJungle,RyzeMid,KalistaBot,AsheSupport
1,13.01,JaxTop,MaokaiJungle,KassadinMid,LucianBot,NamiSupport,K'SanteTop,PoppyJungle,SyndraMid,CaitlynBot,AsheSupport
1,13.01,K'SanteTop,ViegoJungle,RyzeMid,LucianBot,NamiSupport,CamilleTop,PoppyJungle,AzirMid,ZeriBot,YuumiSupport
1,13.01,JaxTop,SejuaniJungle,SylasMid,LucianBot,NamiSupport,FioraTop,MaokaiJungle,SyndraMid,CaitlynBot,KarmaSupport
0,13.01,CamilleTop,WukongJungle,RyzeMid,ZeriBot,YuumiSupport,FioraTop,NidaleeJungle,Twisted FateMid,CaitlynBot,LuxSupport
0,13.01,AatroxTop,WukongJungle,ViktorMid,LucianBot,NamiSupport,SejuaniTop,UdyrJungle,LuxMid,VarusBot,LuluSupport
1,13.01,GangplankTop,WukongJungle,OriannaMid,SivirBot,HeimerdingerSupport,FioraTop,ViegoJungle,RyzeMid,VarusBot,KarmaSupport
1,13.01,AatroxTop,SejuaniJungle,RenektonMid,VarusBot,AlistarSupport,GwenTop,ViJungle,RyzeMid,XayahBot,NautilusSupport
1,13.01,FioraTop,MaokaiJungle,SyndraMid,ZeriBot,YuumiSupport,CamilleTop,ZacJungle,SylasMid,Kai'SaBot,NautilusSupport
0,13.01,GnarTop,ViJungle,SyndraMid,EzrealBot,YuumiSupport,JayceTop,ViegoJungle,LissandraMid,XayahBot,LuluSupport
1,13.01,OrnnTop,GravesJungle,RyzeMid,JhinBot,KarmaSupport,CamilleTop,EliseJungle,ZedMid,CaitlynBot,LuxSupport
1,13.01,JayceTop,MaokaiJungle,TaliyahMid,ZeriBot,YuumiSupport,K'SanteTop,WukongJungle,ViktorMid,SivirBot,LuluSupport
1,13.01,DariusTop,SejuaniJungle,TaliyahMid,DravenBot,HeimerdingerSupport,RenektonTop,WukongJungle,RyzeMid,YoneBot,RakanSupport
1,13.01,CamilleTop,SejuaniJungle,RyzeMid,XayahBot,Renata GlascSupport,K'SanteTop,WukongJungle,BrandMid,EzrealBot,AsheSupport
1,13.01,FioraTop,SejuaniJungle,RyzeMid,VarusBot,SettSupport,GnarTop,MaokaiJungle,SyndraMid,ApheliosBot,NautilusSupport
0,13.01,K'SanteTop,ViJungle,SylasMid,ZeriBot,LuluSupport,GwenTop,WukongJungle,SyndraMid,SivirBot,YuumiSupport
1,13.01,K'SanteTop,MaokaiJungle,ViktorMid,SivirBot,HeimerdingerSupport,GwenTop,WukongJungle,AzirMid,VarusBot,LeonaSupport
0,13.01,K'SanteTop,WukongJungle,SyndraMid,JinxBot,LuluSupport,JaxTop,SejuaniJungle,RyzeMid,ZeriBot,KarmaSupport
1,13.01,JayceTop,MaokaiJungle,Kog'MawMid,SennaBot,OlafSupport,RenektonTop,TaliyahJungle,TristanaMid,VarusBot,KarmaSupport
0,13.01,OrnnTop,WukongJungle,RyzeMid,NilahBot,SonaSupport,GangplankTop,MaokaiJungle,SyndraMid,TristanaBot,LuluSupport
1,13.01,GnarTop,EliseJungle,RyzeMid,LucianBot,NamiSupport,JaxTop,MaokaiJungle,TaliyahMid,ZeriBot,YuumiSupport
1,13.01,GnarTop,Lee SinJungle,SyndraMid,SivirBot,YuumiSupport,JaxTop,MaokaiJungle,ViktorMid,ZeriBot,LuluSupport
0,13.01,K'SanteTop,WukongJungle,SylasMid,ZeriBot,YuumiSupport,CamilleTop,ViJungle,GalioMid,LucianBot,NamiSupport
0,13.01,GwenTop,ViJungle,AzirMid,LucianBot,NamiSupport,K'SanteTop,WukongJungle,KassadinMid,ZeriBot,YuumiSupport
1,13.01,GnarTop,ViJungle,AzirMid,LucianBot,NamiSupport,K'SanteTop,EliseJungle,TaliyahMid,ZeriBot,LuluSupport
0,13.01,GwenTop,WukongJungle,GalioMid,ZeriBot,YuumiSupport,GnarTop,ViJungle,SyndraMid,LucianBot,NamiSupport
1,13.01,FioraTop,WukongJungle,LissandraMid,LucianBot,NamiSupport,JayceTop,ViJungle,AhriMid,ZeriBot,LuluSupport
1,13.01,GnarTop,PoppyJungle,SyndraMid,ZeriBot,YuumiSupport,AatroxTop,ViJungle,KassadinMid,LucianBot,NamiSupport
1,13.01,K'SanteTop,WukongJungle,AzirMid,LucianBot,NamiSupport,NidaleeTop,ViegoJungle,SyndraMid,SivirBot,YuumiSupport
0,13.01,JaxTop,PoppyJungle,SyndraMid,SivirBot,YuumiSupport,K'SanteTop,EliseJungle,ViktorMid,CaitlynBot,LuxSupport
1,13.01,OlafTop,MaokaiJungle,RyzeMid,ZeriBot,RakanSupport,CamilleTop,WukongJungle,GalioMid,VarusBot,KarmaSupport
0,13.01,K'SanteTop,MaokaiJungle,RyzeMid,ZeriBot,YuumiSupport,GangplankTop,WukongJungle,VeigarMid,Kai'SaBot,NautilusSupport
0,13.01,KennenTop,ViegoJungle,CassiopeiaMid,VarusBot,Renata GlascSupport,JaxTop,WukongJungle,RyzeMid,KalistaBot,SorakaSupport
1,13.01,K'SanteTop,KarthusJungle,IreliaMid,VarusBot,RakanSupport,GangplankTop,WukongJungle,AkaliMid,AsheBot,HeimerdingerSupport
0,13.01,FioraTop,WukongJungle,RyzeMid,ZeriBot,HeimerdingerSupport,GnarTop,ViJungle,SyndraMid,VarusBot,JhinSupport
1,13.01,CamilleTop,MaokaiJungle,LissandraMid,KalistaBot,NautilusSupport,K'SanteTop,WukongJungle,TaliyahMid,ZeriBot,YuumiSupport
0,13.01,UdyrTop,ViJungle,LissandraMid,LucianBot,NamiSupport,FioraTop,Lee SinJungle,RyzeMid,VarusBot,LeonaSupport
0,13.01,OlafTop,SejuaniJungle,SeraphineMid,Kai'SaBot,LeonaSupport,FioraTop,WukongJungle,ViktorMid,ZeriBot,RakanSupport
1,13.01,SionTop,WukongJungle,LeBlancMid,LucianBot,YuumiSupport,K'SanteTop,ViJungle,TaliyahMid,JhinBot,NamiSupport
0,13.01,JaxTop,WukongJungle,RyzeMid,AsheBot,ZyraSupport,FioraTop,SejuaniJungle,AzirMid,VarusBot,LuxSupport
1,13.01,K'SanteTop,NocturneJungle,SyndraMid,AsheBot,HeimerdingerSupport,GnarTop,WukongJungle,AkaliMid,VarusBot,JhinSupport
0,13.01,K'SanteTop,TaliyahJungle,SyndraMid,VarusBot,LuluSupport,RenektonTop,WukongJungle,SwainMid,LucianBot,NamiSupport
0,13.01,GwenTop,ViJungle,RyzeMid,JhinBot,NautilusSupport,K'SanteTop,EliseJungle,KarmaMid,VarusBot,Renata GlascSupport
1,13.01,K'SanteTop,ViJungle,TaliyahMid,LucianBot,NamiSupport,MordekaiserTop,WukongJungle,SwainMid,SamiraBot,AmumuSupport
0,13.01,RenektonTop,WukongJungle,ViktorMid,VarusBot,NautilusSupport,K'SanteTop,Lee SinJungle,RyzeMid,ZeriBot,BraumSupport
0,13.01,K'SanteTop,ViJungle,AhriMid,JhinBot,PykeSupport,GnarTop,EliseJungle,KarmaMid,VarusBot,NautilusSupport
0,13.01,K'SanteTop,Lee SinJungle,RyzeMid,ZeriBot,LuluSupport,RenektonTop,WukongJungle,ViktorMid,LucianBot,NamiSupport
0,13.01,AatroxTop,SejuaniJungle,TaliyahMid,AsheBot,HeimerdingerSupport,GnarTop,MaokaiJungle,SylasMid,VarusBot,JhinSupport
0,13.01,FioraTop,SejuaniJungle,ViktorMid,VarusBot,KarmaSupport,GnarTop,MaokaiJungle,AkaliMid,LucianBot,NamiSupport
0,13.01,RenektonTop,ViJungle,AkaliMid,ZeriBot,LuluSupport,FioraTop,MaokaiJungle,AzirMid,LucianBot,NamiSupport
1,13.01,RenektonTop,SejuaniJungle,RyzeMid,LucianBot,NamiSupport,GragasTop,ViegoJungle,ViktorMid,ZeriBot,LuluSupport
1,13.01,JayceTop,SejuaniJungle,SyndraMid,KalistaBot,NautilusSupport,FioraTop,Lee SinJungle,AzirMid,ZeriBot,YuumiSupport
1,13.01,GnarTop,MaokaiJungle,SyndraMid,VarusBot,KarmaSupport,GangplankTop,UdyrJungle,ViktorMid,LucianBot,NamiSupport
0,13.01,GnarTop,MaokaiJungle,AzirMid,VarusBot,Renata GlascSupport,FioraTop,SejuaniJungle,RyzeMid,ApheliosBot,BardSupport
0,13.01,GnarTop,PoppyJungle,SylasMid,ZeriBot,YuumiSupport,FioraTop,ViJungle,IreliaMid,SeraphineBot,AsheSupport
1,13.01,GnarTop,ViJungle,ViktorMid,SivirBot,HeimerdingerSupport,JayceTop,MaokaiJungle,SyndraMid,CaitlynBot,LuxSupport
1,13.01,GangplankTop,WukongJungle,SyndraMid,CaitlynBot,HeimerdingerSupport,JaxTop,Lee SinJungle,RyzeMid,VarusBot,LuxSupport
1,13.01,FioraTop,MaokaiJungle,AhriMid,VarusBot,KarmaSupport,JaxTop,SejuaniJungle,AzirMid,SivirBot,LuluSupport
1,13.01,K'SanteTop,ViJungle,ViktorMid,LucianBot,SonaSupport,GwenTop,WukongJungle,AzirMid,XayahBot,NamiSupport
1,13.01,JayceTop,MaokaiJungle,AzirMid,ZeriBot,NautilusSupport,JaxTop,SkarnerJungle,ViktorMid,VarusBot,KarmaSupport
0,13.01,JaxTop,MaokaiJungle,SyndraMid,Kai'SaBot,NautilusSupport,KennenTop,ViJungle,OrnnMid,EzrealBot,YuumiSupport
1,13.01,K'SanteTop,SejuaniJungle,AzirMid,VarusBot,KarmaSupport,GnarTop,ViJungle,SylasMid,ZeriBot,YuumiSupport
0,13.01,MalphiteTop,WukongJungle,AhriMid,DravenBot,NamiSupport,K'SanteTop,MaokaiJungle,SyndraMid,LucianBot,SonaSupport
0,13.01,AatroxTop,WukongJungle,SyndraMid,XayahBot,RakanSupport,K'SanteTop,ViJungle,LuxMid,VarusBot,KarmaSupport
0,13.01,K'SanteTop,MaokaiJungle,RyzeMid,Kai'SaBot,NautilusSupport,CamilleTop,ViJungle,SwainMid,VarusBot,BraumSupport
0,13.01,JayceTop,ViJungle,AzirMid,VarusBot,NautilusSupport,GnarTop,WukongJungle,RyzeMid,XayahBot,BraumSupport
0,13.01,OrnnTop,WukongJungle,AkaliMid,ZeriBot,YuumiSupport,FioraTop,ViJungle,SyndraMid,LucianBot,NamiSupport
0,13.01,K'SanteTop,SejuaniJungle,SylasMid,ZeriBot,LuluSupport,OlafTop,ViJungle,RyzeMid,LucianBot,NamiSupport
1,13.01,OlafTop,ViJungle,GalioMid,LucianBot,NamiSupport,RenektonTop,WukongJungle,SyndraMid,ZeriBot,LuluSupport
0,13.01,RenektonTop,WukongJungle,RyzeMid,XayahBot,LuluSupport,Miss FortuneTop,Jarvan IVJungle,KassadinMid,YoneBot,ThreshSupport
1,13.01,FioraTop,ViJungle,TaliyahMid,ApheliosBot,ThreshSupport,JayceTop,WukongJungle,RyzeMid,ZeriBot,Renata GlascSupport
0,13.01,K'SanteTop,SejuaniJungle,KassadinMid,ZeriBot,LuluSupport,GwenTop,ViJungle,AkaliMid,VarusBot,AsheSupport
0,13.01,K'SanteTop,WukongJungle,SylasMid,ZeriBot,LuluSupport,JayceTop,SejuaniJungle,AkaliMid,LucianBot,NamiSupport
1,13.01,AatroxTop,Lee SinJungle,SyndraMid,LucianBot,NamiSupport,FioraTop,WukongJungle,ViktorMid,EzrealBot,KarmaSupport
0,13.01,MalphiteTop,ViJungle,AzirMid,CaitlynBot,LuxSupport,FioraTop,GravesJungle,RyzeMid,ApheliosBot,AsheSupport
1,13.01,GnarTop,ZacJungle,RyzeMid,LucianBot,NamiSupport,Miss FortuneTop,Lee SinJungle,AkaliMid,YoneBot,LuluSupport
0,13.01,K'SanteTop,ViegoJungle,SyndraMid,ZeriBot,LeonaSupport,GnarTop,SejuaniJungle,SylasMid,KalistaBot,NautilusSupport
1,13.01,RenektonTop,WukongJungle,GalioMid,VarusBot,HeimerdingerSupport,GnarTop,ViJungle,SyndraMid,SivirBot,KarmaSupport
0,13.01,GwenTop,WukongJungle,GalioMid,VarusBot,KarmaSupport,OrnnTop,MaokaiJungle,ViktorMid,JhinBot,AsheSupport
1,13.01,SionTop,ViegoJungle,LeBlancMid,EzrealBot,KarmaSupport,AkaliTop,SejuaniJungle,VexMid,CaitlynBot,NautilusSupport
1,13.01,K'SanteTop,ViJungle,AzirMid,AsheBot,HeimerdingerSupport,GnarTop,WukongJungle,VexMid,ZeriBot,YuumiSupport
1,13.01,GwenTop,ViJungle,MordekaiserMid,LucianBot,NamiSupport,AatroxTop,SejuaniJungle,LissandraMid,ZeriBot,LuluSupport
1,13.01,GwenTop,MaokaiJungle,YoneMid,SivirBot,LuluSupport,FioraTop,WukongJungle,RyzeMid,CaitlynBot,KarmaSupport
0,13.01,K'SanteTop,KindredJungle,KarmaMid,ApheliosBot,LuluSupport,GwenTop,ViegoJungle,RyzeMid,ZeriBot,NautilusSupport
1,13.01,CamilleTop,MaokaiJungle,GalioMid,CaitlynBot,LuxSupport,JaxTop,ViegoJungle,RyzeMid,VarusBot,KarmaSupport
0,13.01,K'SanteTop,WukongJungle,RyzeMid,VarusBot,NautilusSupport,YoneTop,MaokaiJungle,SionMid,SivirBot,AsheSupport
1,13.01,GnarTop,PoppyJungle,RyzeMid,ZeriBot,NamiSupport,CamilleTop,ViJungle,AzirMid,LucianBot,NautilusSupport
0,13.01,GnarTop,ViJungle,GalioMid,SivirBot,YuumiSupport,JaxTop,WukongJungle,SyndraMid,ZeriBot,LuluSupport
1,13.01,K'SanteTop,ViJungle,OriannaMid,SivirBot,YuumiSupport,GnarTop,WukongJungle,KarmaMid,LucianBot,NamiSupport
1,13.01,RenektonTop,SejuaniJungle,KassadinMid,VarusBot,AsheSupport,K'SanteTop,WukongJungle,RyzeMid,ZeriBot,HeimerdingerSupport
1,13.01,RenektonTop,MaokaiJungle,AzirMid,LucianBot,NamiSupport,K'SanteTop,ViJungle,AhriMid,ZeriBot,LuluSupport
1,13.01,GnarTop,MaokaiJungle,LeBlancMid,LucianBot,NamiSupport,FioraTop,ViJungle,AzirMid,ZeriBot,LuluSupport
1,13.01,GwenTop,ViJungle,IreliaMid,LucianBot,NamiSupport,K'SanteTop,SkarnerJungle,RyzeMid,VarusBot,HeimerdingerSupport
0,13.01,SettTop,MaokaiJungle,YoneMid,LucianBot,NamiSupport,RenektonTop,WukongJungle,SyndraMid,VarusBot,AlistarSupport
0,13.01,JayceTop,ViegoJungle,RyzeMid,VarusBot,LuluSupport,OrnnTop,WukongJungle,SyndraMid,XayahBot,NautilusSupport
1,13.01,FioraTop,PoppyJungle,KassadinMid,ZeriBot,YuumiSupport,JaxTop,SejuaniJungle,YoneMid,VarusBot,RakanSupport
1,13.01,GwenTop,WukongJungle,TryndamereMid,VarusBot,NautilusSupport,FioraTop,SejuaniJungle,SyndraMid,ZeriBot,LuluSupport
1,13.01,FioraTop,MaokaiJungle,XerathMid,Miss FortuneBot,ZileanSupport,GragasTop,Lee SinJungle,IreliaMid,VarusBot,HeimerdingerSupport
0,13.01,AatroxTop,ViJungle,ViktorMid,LucianBot,NamiSupport,GnarTop,PoppyJungle,SylasMid,AsheBot,HeimerdingerSupport
1,13.01,RenektonTop,SejuaniJungle,ViktorMid,EzrealBot,KarmaSupport,K'SanteTop,WukongJungle,AzirMid,SamiraBot,AmumuSupport
0,13.01,OlafTop,ViJungle,AzirMid,SeraphineBot,NautilusSupport,CamilleTop,PoppyJungle,RyzeMid,VarusBot,Tahm KenchSupport
0,13.01,RenektonTop,UdyrJungle,SyndraMid,EzrealBot,NamiSupport,GnarTop,WukongJungle,SylasMid,LucianBot,YuumiSupport
